id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,notes,cost-basis-in-pennies,quantity,date-entered,date-purchased,grading-company,grading-cert-id,folder
11816142,Beautifly #219,Pokemon Ascended Heroes,761,Ungraded,Normal wear,,,0,1,2026-04-05,2026-04-05,,,
12117859,Lickitung #207,Pokemon Chinese Gem Pack 4,1121,Ungraded,Normal wear,,,0,1,2026-03-11,,,,
11748981,Snorlax #62,Pokemon Japanese Nihil Zero,188,Ungraded,Normal wear,,,0,1,2026-03-04,2026-03-04,,,
10026655,Swoobat #37,Pokemon White Flare,17,Ungraded,Normal wear,,,0,1,2026-04-04,2026-04-03,,,White flare
10026684,Zweilous #66,Pokemon White Flare,15,Ungraded,Normal wear,,,0,1,2026-04-04,2026-04-03,,,White flare
11748944,Shinx #25,Pokemon Japanese Nihil Zero,167,Ungraded,Normal wear,,,0,1,2026-03-04,2026-03-04,,,
10026877,Samurott [Reverse] #23,Pokemon White Flare,20,Ungraded,Normal wear,,,0,1,2026-04-04,2026-04-03,,,White flare
5809516,Jolteon #135,Pokemon Scarlet & Violet 151,177,Ungraded,Normal wear,,,0,1,2026-03-25,2026-03-25,,,
10026706,Ignition Energy #86,Pokemon White Flare,131,Ungraded,Normal wear,,,0,1,2026-04-04,2026-04-03,,,White flare
11816213,Mawile #246,Pokemon Ascended Heroes,729,Ungraded,Normal wear,,,0,1,2026-03-10,,,,
10026689,Druddigon #71,Pokemon White Flare,10,Ungraded,Normal wear,,,0,1,2026-04-04,2026-04-03,,,White flare
10026868,Herdier [Reverse] #75,Pokemon White Flare,21,Ungraded,Normal wear,,,0,1,2026-04-04,2026-04-03,,,White flare
10026670,Mienfoo #52,Pokemon White Flare,5,Ungraded,Normal wear,,,0,1,2026-04-04,2026-04-03,,,White flare
10026836,Swadloon [Reverse] #2,Pokemon White Flare,15,Ungraded,Normal wear,,,0,1,2026-04-04,2026-04-03,,,White flare
8871358,Regirock [Reverse Holo] #82,Pokemon Journey Together,111,Ungraded,Normal wear,,,0,1,2026-03-04,2026-03-04,,,
10026891,Sewaddle [Poke Ball] #1,Pokemon White Flare,29,Ungraded,Normal wear,,,0,1,2026-04-04,2026-04-03,,,White flare
10026914,Vanillite [Poke Ball] #27,Pokemon White Flare,56,Ungraded,Normal wear,,,0,1,2026-04-04,2026-04-03,,,White flare
